customer_no,full_name,phone,email,password_hash,account_iban,currency,balance,card_masked_pan,card_status,tx_type,amount,tx_status,created_at,target_iban,bill_id
CUST-1090,Sofiia Tkachuk,+380671000090,sofiia.tkachuk90@example.com,a4273f882cab7a89e7fa8e5a1298799b62233ada8a93f880f58bbd87db44d6a3,UA000010000000000000000000181,USD,5506.05,**** **** **** 1181,ACTIVE,BILL_PAYMENT,10559.66,COMPLETED,2024-01-01T09:00:00,,BILL-50000
CUST-1009,Sofiia Tkachuk,+380671000009,sofiia.tkachuk9@example.com,2d4589473fb3f4581d7452cd25182159d68d2a50056a0cce35a529b010e32f2b,UA000010000000000000000000019,USD,92725.29,**** **** **** 1019,BLOCKED,TRANSFER,13862.47,FAILED,2024-01-01T09:07:00,UA000010000000000000000000151,
CUST-1084,Olena Shevchenko,+380671000084,olena.shevchenko84@example.com,11ee91bdbb90b967d18e45226bd3bc17d72a85a4486315b3568d070722445fe1,UA000010000000000000000000170,USD,55793.82,**** **** **** 1170,BLOCKED,TRANSFER,6405.83,FAILED,2024-01-01T09:14:00,UA000010000000000000000000058,
CUST-1082,Sofiia Shevchenko,+380671000082,sofiia.shevchenko82@example.com,ca619acdadd8eb0f598c954031b5f359a2fbd4fe0179eb02acfeab2ad373c999,UA000010000000000000000000166,EUR,48133.22,**** **** **** 1166,BLOCKED,TRANSFER,13630.75,PENDING,2024-01-01T09:21:00,UA000010000000000000000000019,
CUST-1007,Sofiia Koval,+380671000007,sofiia.koval7@example.com,1526f5e0e31d42fe1c3664ce923ac22ac1333417a90b32043797ac454cd03112,UA000010000000000000000000016,UAH,41234.99,**** **** **** 1016,BLOCKED,TRANSFER,11899.8,FAILED,2024-01-01T09:28:00,UA000010000000000000000000192,
CUST-1072,Andrii Bondarenko,+380671000072,andrii.bondarenko72@example.com,79db1e22563af60be55a3717827926b76139d2428cbe693eba1643c2798e048d,UA000010000000000000000000146,EUR,60440.75,**** **** **** 1146,ACTIVE,BILL_PAYMENT,6615.34,COMPLETED,2024-01-01T09:35:00,,BILL-50005
CUST-1088,Maksym Tkachenko,+380671000088,maksym.tkachenko88@example.com,1d45a36925bcb8f729f8f06ee0ec689f440cc6b08c3a0573ed12e10104e1e9a0,UA000010000000000000000000177,USD,72733.92,**** **** **** 1177,BLOCKED,BILL_PAYMENT,10511.02,COMPLETED,2024-01-01T09:42:00,,BILL-50006
CUST-1064,Andrii Bondarenko,+380671000064,andrii.bondarenko64@example.com,51031e17ce0a58242bf97f01a2883d077c6dd21f22674ee500dbfb60228851e7,UA000010000000000000000000129,USD,34412.55,**** **** **** 1129,BLOCKED,BILL_PAYMENT,6594.5,FAILED,2024-01-01T09:49:00,,BILL-50007
CUST-1005,Dmytro Shevchenko,+380671000005,dmytro.shevchenko5@example.com,0eeac8171768d0cdef3a20fee6db4362d019c91e10662a6b55186336e1a42778,UA000010000000000000000000011,EUR,45412.74,**** **** **** 1011,BLOCKED,BILL_PAYMENT,11031.28,FAILED,2024-01-01T09:56:00,,BILL-50008
CUST-1032,Kateryna Koval,+380671000032,kateryna.koval32@example.com,451a8149ebd58dbd064e3337c6de5d4f4bb08cd70bbbd48d62a205bd706b6bb0,UA000010000000000000000000065,UAH,20757.71,**** **** **** 1065,BLOCKED,TRANSFER,1415.34,FAILED,2024-01-01T10:03:00,UA000010000000000000000000148,
